mellow-flacm	http://stream.radioparadise.com/mellow-flacm	True	OGG
mscp4.live-streams	http://mscp4.live-streams.nl:8140/flac.ogg	True	OGG
Naim Classical	http://mscp3.live-streams.nl:8250/class-flac.flac	True	OGG
Naim classical	https://mscp3.live-streams.nl:8252/class-flac.flac	True	OGG
Naim Jazz	http://mscp3.live-streams.nl:8340/jazz-flac.flac	True	OGG
Naim Jazz [flac]	https://mscp3.live-streams.nl:8342/jazz-flac.flac	True	OGG
Naim Radio	http://mscp3.live-streams.nl:8360/flac.flac	True	OGG
Naim Radio	https://mscp3.live-streams.nl:8362/flac.flac	True	OGG
openbroadcast	http://stream.openbroadcast.ch/16bit.flac	True	OGG
OpenSky Radio - Pop/Dance/Electro/US Rap Hits (flc)	https://audio.opensky.radio:8082/flac?_res_tag_=audio	True	OGG
Pi ano	http://stream.p-node.org/piano.flac	True	OGG
Progressieve Rock	https://progressieverock.nl/flac	True	OGG
Progressieve Rock	http://progressieverock.nl/flac	True	OGG
Punkrockers Radio	https://stream.punkrockers-radio.de:8443/prr.flac	True	OGG
Pure Radio Various Channel FLAC	https://streamserver.pure-isp.eu/radio/8070/flac	True	OGG
Qabayan Radio 94.3 FM (FLAC)	https://c2.radioboss.fm:8478/live	True	MP3
Radio BluesFlac	https://streams.radiomast.io/radioblues-flac	True	OGG
Radio Bluesflac	https://audio-edge-jfbmv.sin.d.radiomast.io/radioblues-flac?t=nightvision%3Fs%3D88baf5be-4b2d-416a-afc6-b0d9be7c9f1e&cachebuster=5213503296919065	True	OGG
Radio Club 80 Classic	https://stream.radioclub80.cl:8002/clasicos80.flac	True	OGG
Radio Club 80 Euro	https://stream.radioclub80.cl:8032/stream.euro80flac	True	OGG
Radio Club 80 Retro FLAC	https://stream.radioclub80.cl:8022/retro80.flac	True	OGG
Radio Jeunes Rheims	http://stream.rjrradio.fr:8000/rjr-dab.flac	True	OGG
Radio Paradise (flac)	http://stream-uk1.radioparadise.com/flac	True	OGG
Radio Paradise Main Mix + Meta	https://stream.radioparadise.com/flacm	True	OGG
Radio Paradise Main Mix FLAC	https://stream.radioparadise.com/flac	True	OGG
Radio Paradise Mellow Mix FLAC	https://stream.radioparadise.com/mellow-flac	True	OGG
Radio Paradise Rock Mix FLAC	https://stream.radioparadise.com/rock-flac	True	OGG
Radio Paradise World/Etc Mix FLAC	https://stream.radioparadise.com/world-etc-flac	True	OGG
Radio Random	http://radiorandom.org:8000/WBJM-FLAC	True	OGG
Radio Sputnik - 24/7 Underground House and Techno (flc)	https://radiosputnik.nl:8443/flac	True	OGG
Radioparadise (flacm)	http://stream.radioparadise.com/flacm	True	OGG
Radioparadise Global (flacm)	http://stream.radioparadise.com/global-flacm	True	OGG
Radioparadise Radio2050 (flacm)	http://stream.radioparadise.com/radio2050-flacm	True	OGG
Radioparadise World (flc)	http://stream.radioparadise.com/eclectic-flac	True	OGG
radiosputnik	http://radiosputnik.nl:8002/flac	True	OGG
retrodance.flac.ogg	http://retro.dancewave.online/retrodance.flac.ogg	True	OGG
RJR France	https://stream.rjrradio.fr/rjr-dab.flac	True	OGG
Rondo Klasu	https://iradio.fi/klasu.flac	True	OGG
Rondo Klasu Pro	https://iradio.fi/klasupro.flac	True	OGG
Roxy Radio - Rock	Pop and Chillout Pop (flc)	https://s2.audiostream.hu/roxy_FLAC	True	OGG
Royalty Free Music 24/7 - Ogg FLAC - Lossless Stereo	https://streams.radiomast.io/ref-lossless-ogg-flac-stereo	True	OGG
Sing Sing Eclectic (flc)	http://stream.sing-sing-bis.org:8000/singsingFlac	True	OGG
SomaFM Groove Salad (HLS FLAC)	https://hls.somafm.com/hls/groovesalad/FLAC/program.m3u8	True	Unknown
sun.flac	http://diffusion.lafrap.fr:8000/sun.flac	True	OGG
Sveriges Radio P2 flac	https://edge1.sr.se/p2-flac	True	OGG
Sveriges Radio P2 flac	https://live1.sr.se/p2-flac	True	OGG
The Cheese FLAC	https://station.thecheese.co.nz/listen/the_cheese/flac	True	OGG
world-etc-flacm	http://stream.radioparadise.com/world-etc-flacm	True	OGG
